Change	Time (sec)	Delay(uSec)	Angle(deg)	Error(arcsec)	
	200.780032	5487	12.57824382291653752229	6.63173175956505567188	0.00055642739358342937
	202.184704	5487	12.58411225151705602893	6.63481054744384355065	-0.00089077832718485785
	203.589376	5487	12.58998071075558406948	6.63788933532263142941	-0.00222768721362784948
	204.994048	5487	12.59584920065151088069	6.64096812320141930818	-0.00345422946450171587
	206.398720	5486	12.60171772122422003022	6.64404691108020718695	-0.00071981768138929337
	207.803136	5486	12.60758627249308954331	6.64712569895899506615	0.00212510027903566769
	209.207552	5487	12.61345485447749182641	6.65020448683778294492	0.00123007653986344842
	210.612224	5487	12.61932346719679369669	6.65328327471657082369	0.00044569843920584572
	212.016896	5487	12.62519211067035644278	6.65636206259535870245	-0.00022796432230009462
	213.421568	5487	12.63106078491753578395	6.65944085047414658122	-0.00079084206406600296
	214.826240	5487	12.63692948995768193261	6.66251963835293445999	-0.00124286512532016679
	216.230912	5487	12.64279822581013957954	6.66559842623172233919	-0.00158396386518300683
	217.635584	5487	12.64866699249424787221	6.66867721411051021796	-0.00181406866272298517
	219.040256	5487	12.65453579002934058825	6.67175600198929809673	-0.00193310991633602443
	220.444928	5487	12.66040461843474590909	6.67483478986808597549	-0.00194101804457294891
	221.849600	5487	12.66627347772978666191	6.67791357774687385426	-0.00183772348525333980
	223.254272	5487	12.67214236793378015315	6.68099236562566173303	-0.00162315669607772988
	224.658944	5487	12.67801128906603832982	6.68407115350444961180	-0.00129724815403497671
	226.063616	5487	12.68388024114586769102	6.68714994138323749057	-0.00085992835572373471
	227.468288	5487	12.68974922419256937210	6.69022872926202536977	-0.00031112781706452795
	228.872960	5487	12.69561823822543909779	6.69330751714081324854	0.00034922292655768387
	230.277632	5487	12.70148728326376725249	6.69638630501960112730	0.00112119332052272911
	231.682304	5487	12.70735635932683884729	6.69946509289838900607	0.00200485279087458935
	233.086976	5487	12.71322546643393358243	6.70254388077717688484	0.00300027074452825974
	234.491648	5488	12.71909460460432581171	6.70562266865596476361	0.00025699895159488258
	235.896576	5488	12.72496377385728460324	6.70870145653475264281	-0.00237437560171106064
	237.301504	5487	12.73083297421207371256	6.71178024441354052158	-0.00104326594830966568
	238.706176	5487	12.73670220568795164243	6.71485903229232840034	0.00039987962484472252
	240.110848	5487	12.74257146830417158738	6.71793782017111627911	0.00195513042925418586
	241.515520	5487	12.74844076207998156379	6.72101660804990415788	0.00362255575777822106
	242.920192	5488	12.75431008703462428325	6.72409539592869203665	0.00155170726660944702
	244.325120	5488	12.76017944318733726705	6.72717418380747991542	-0.00040682817160395654
	245.730048	5488	12.76604883055735283927	6.73025297168626779418	-0.00225298132050330747
	247.134976	5487	12.77191824916389810505	6.73333175956505567339	-0.00013616534493804759
	248.539648	5487	12.77778769902619502175	6.73641054744384355215	0.00209317133657153529
	249.944320	5488	12.78365718016346035211	6.73948933532263143092	0.00058458028680106915
	251.349248	5488	12.78952669259490573708	6.74256812320141930969	-0.00081135171477226121
	252.754176	5488	12.79539623633973765421	6.74564691108020718846	-0.00209455552482938429
	254.159104	5488	12.80126581141715748358	6.74872569895899506722	-0.00326496201840029581
	255.564032	5487	12.80713541784636147307	6.75180448683778294643	-0.00047198447142959748
	256.968704	5487	12.81300505564654079217	6.75488327471657082519	0.00243392858672723605
	258.373376	5488	12.81887472483688155105	6.75796206259535870396	0.00160232860850263799
	259.778304	5488	12.82474442543656472857	6.76104085047414658273	0.00088380226298307641
	261.183232	5488	12.83061415746476632057	6.76411963835293446150	0.00027841858375662270
	262.588160	5488	12.83648392094065725146	6.76719842623172234027	-0.00021375341384826588
	263.993088	5488	12.84235371588340339846	6.77027721411051021903	-0.00059264473267888392
	265.398016	5488	12.84822354231216568095	6.77335600198929809780	-0.00085818639342003328
	266.802944	5488	12.85409340024610000582	6.77643478986808597700	-0.00101030943480926968
	268.207872	5488	12.85996328970435722498	6.77951357774687385577	-0.00104894491377667313
	269.612800	5488	12.86583321070608334699	6.78259236562566173454	-0.00097402390469567821
	271.017728	5488	12.87170316327041928207	6.78567115350444961331	-0.00078547750028599133
	272.422656	5488	12.87757314741650114132	6.78874994138323749207	-0.00048323681055413054
