Change	Time (sec)	Delay(uSec)	Angle(deg)	Error(arcsec)	
	1085.223680	5511	7.28404510080825254997	0.00114922417926018616
	1086.634496	5511	7.28994013178784639254	0.00305816030811117763
	1088.045312	5512	7.29583520459996050060	0.00126717589234625325
	1089.456384	5512	7.30173031926403569812	-0.00037314146350070755
	1090.867456	5512	7.30762547579950989124	-0.00186272178295284220
	1092.278528	5512	7.31352067422581810820	-0.00320149509993221109
	1093.689600	5511	7.31941591456239246637	-0.00053887384122470154
	1095.100416	5511	7.32531119682866226593	0.00227469432106563636
	1096.511232	5512	7.33120652104405387192	0.00138876170429046834
	1097.922304	5512	7.33710188722799080963	0.00065391585071313431
	1099.333376	5512	7.34299729539989375071	0.00007022667474681760
	1100.744448	5512	7.34889274557918052710	-0.00036223591940972439
	1102.155520	5512	7.35478823778526610150	-0.00064340203790074897
	1103.566592	5512	7.36068377203756264021	-0.00077320179691162399
	1104.977664	5512	7.36657934835547946462	-0.00075156532290364220
	1106.388736	5512	7.37247496675842305634	-0.00057842275252456816
	1107.799808	5512	7.37837062726579712493	-0.00025370423242973205
	1109.210880	5512	7.38426632989700253498	0.00022266008049992842
	1110.621952	5512	7.39016207467143741022	0.00085074001948772630
	1112.033024	5512	7.39605786160849702424	0.00163060540754813956
	1113.444096	5512	7.40195369072757388372	0.00256232605768248975
	1114.855168	5512	7.40784956204805775971	0.00364597177308580226
	1116.266240	5513	7.41374547558933559045	0.00103109472915885410
	1117.677568	5513	7.41964143137079159933	-0.00143171767333304723
	1119.088896	5513	7.42553742941180726367	-0.00374239566106103022
	1120.500224	5512	7.43143346973176125922	-0.00205035185323019200
	1121.911296	5512	7.43732955235002956770	-0.00020603411387739125
	1123.322368	5512	7.44322567728598542477	0.00179062730065576830
	1124.733440	5513	7.44912184455899935472	0.00008918450668070001
	1126.144768	5513	7.45501805418843913921	-0.00145977515421610536
	1127.556096	5513	7.46091430619366986939	-0.00285618196770568685
	1128.967424	5512	7.46681060059405390592	-0.00024944861173028365
	1130.378496	5512	7.47270693740895095535	0.00250997699109823725
	1131.789568	5513	7.47860331665771797122	0.00157164690823312393
	1133.200896	5513	7.48449973835970928764	0.00078614843285555819
	1134.612224	5513	7.49039620253427655162	0.00015355123088360121
