Change	Time (sec)	Delay(uSec)	Angle(deg)	C length(cm)	Error(arcsec)	
	98.615552	5504	12.76139586665684431174	6.72559393939393939700	0.00030383624530341057
	100.024576	5504	12.76728278066385373173	6.72867272727272727577	-0.00005470560680654110
	101.433600	5504	12.77316971895341249366	6.73175151515151515497	-0.00032583028128630698
	102.842624	5504	12.77905668155462416431	6.73483030303030303374	-0.00050943300529190283
	104.251648	5504	12.78494366849656917011	6.73790909090909091251	-0.00060540908929372579
	105.660672	5504	12.79083067980830480843	6.74098787878787879127	-0.00061365392702064623
	107.069696	5504	12.79671771551886530049	6.74406666666666667004	-0.00053406299526991988
	108.478720	5504	12.80260477565726186504	6.74714545454545454881	-0.00036653185366119181
	109.887744	5504	12.80849186025248282860	6.75022424242424242758	-0.00011095614421159424
	111.296768	5504	12.81437896933349354905	6.75330303030303030678	0.00023276840835955389
	112.705792	5504	12.82026610292923657700	6.75638181818181818555	0.00066474599723735073
	114.114816	5504	12.82615326106863170349	6.75946060606060606431	0.00118508073367344525
	115.523840	5504	12.83204044378057591923	6.76253939393939394308	0.00179387664682669895
	116.932864	5504	12.83792765109394360887	6.76561818181818182185	0.00249123768448719684
	118.341888	5504	12.84381488303758649203	6.76869696969696970062	0.00327726771284422850
	119.750912	5505	12.84970213964033374648	6.77177575757575757939	0.00030155289937050351
	121.160192	5505	12.85558942093099200985	6.77485454545454545859	-0.00258528543446913053
	122.569472	5504	12.86147672693834548719	6.77793333333333333736	-0.00153262604797199863
	123.978496	5504	12.86736405769115594404	6.78101212121212121612	-0.00039088301634885724
	125.387520	5504	12.87325141321816282698	6.78409090909090909489	0.00084004712240693062
	126.796544	5504	12.87913879354808323330	6.78716969696969697366	0.00216026774985011974
	128.205568	5504	12.88502619870961209830	6.79024848484848485243	0.00356988216774050395
	129.614592	5505	12.89091362873142204183	6.79332727272727273163	0.00121847597994594283
	131.023872	5505	12.89680108364216364666	6.79640606060606061040	-0.00104333005386493613
	132.433152	5505	12.90268856347046536742	6.79948484848484848916	-0.00321543287125572305
	133.842432	5504	12.90857606824493361043	6.80256363636363636793	-0.00144721187160540298
	135.251456	5504	12.91446359799415282213	6.80564242424242424670	0.00041091823153514765
	136.660480	5504	12.92035115274668549083	6.80872121212121212547	0.00235906026312392500
